Survey method,Taxa,Common name,Taxonomic level,Trophic ecology
UPC,Desmarestia,Acidic seaweed,Algae,Autotroph
UPC,Hydroid,Hydroid,Invertebrate,Planktivore
UPC,Macrocystis pyrifera,Giant kelp,Algae,Autotroph
UPC,Porifera,Sponge,Invertebrate,Planktivore
UPC,Coralline algae erect articulated,Coralline algae erect/articulated,Algae,Autotroph
UPC,Phyllospadix,Surfgrass,Seagrass,Autotroph
UPC,Tunicate solitary,Tunicate solitary,Invertebrate,Planktivore
UPC,Phragmatopoma californica,Colonial sand tube worm,Invertebrate,Planktivore
UPC,Chlorophyta,Green algae,Algae,Autotroph
UPC,Tubeworm,Tubeworm,Invertebrate,Planktivore
UPC,Clam,Clam,Invertebrate,Planktivore
UPC,Cirripedia,Barnacle,Invertebrate,Planktivore
UPC,Diopatra chaetopterus spp,Ornate tube worm,Invertebrate,Planktivore
UPC,Cucumaria,Sea cucumber,Invertebrate,Planktivore
UPC,Tunicate colonial compund social,"Tunicate colonial,compund,social",Invertebrate,Planktivore
UPC,Dodecaceria fewkesi,Dodecaceria,Invertebrate,Planktivore
UPC,Egregia menziesii,Egregia,Algae,Autotroph
UPC,Dictyoneurum californicum reticulatum,Dictyotales,Algae,Autotroph
UPC,Dictyotales,Brown algae,Algae,Autotroph
UPC,Diatom layer,Diatom layer,Algae,Autotroph
UPC,Red algae leaf like,Red algae (leaflike),Algae,Autotroph
UPC,Stephanocystis osmundacea,Cystoseira,Algae,Autotroph
UPC,Cup coral,Cup coral,Invertebrate,Planktivore
UPC,Salmacina tribranchiata,Fragile tube worms,Invertebrate,Planktivore
UPC,Red algae encrusting,Red algae encrusting,Algae,Autotroph
UPC,Red algae lacy branching,Red algae (lacy branching),Algae,Autotroph
UPC,Red filamentous turf,Red filamentous turf,Algae,Autotroph
UPC,Red algae cylindrical branches,Red algae (cylindrical branches),Algae,Autotroph
UPC,Tubeworm mat,Tubeworm mat,Invertebrate,Planktivore
UPC,Stylaster californicus,California hydrocoral,Invertebrate,Planktivore
UPC,Scallop,Scallop,Invertebrate,Planktivore
UPC,Thylacodes squamigerus,"Tube snail, scaled worm shell",Invertebrate,Planktivore
UPC,Petaloconchus montereyensis,Worm snail,Invertebrate,Planktivore
UPC,Mytilus spp,Mussel,Invertebrate,Planktivore
Fish,Brachyistius frenatus,Kelp surfperch,Fish,Planktivore
Fish,Oxylebius pictus,Painted greenling,Fish,Microinvertivore
Fish,Hexagrammos decagrammus,Kelp greenling,Fish,Macroinvertivore
Fish,Paralabrax clathratus,"Kelp bass, calico bass",Fish,Piscivore
Fish,Rhacochilus vacca,Pile surfperch,Fish,Macroinvertivore
Fish,Sebastes atrovirens,Kelp rockfish,Fish,Macroinvertivore
Fish,Sebastes caurinus,Copper rockfish,Fish,Macroinvertivore
Fish,Sebastes mystinus,Blue rockfish,Fish,Planktivore
Fish,Sebastes rastrelliger,Grass rockfish,Fish,Piscivore
Fish,Sebastes serranoides flavidus,Olive or yellowtail rockfish,Fish,Piscivore
Fish,Semicossyphus pulcher,California sheephead,Fish,Macroinvertivore
Fish,Sebastes entomelas,Widow rockfish,Fish,Piscivore
Fish,Sebastes chrysomelas,Black and yellow rockfish,Fish,Macroinvertivore
Fish,Scorpaenichthys marmoratus,Cabezon,Fish,Macroinvertivore
Fish,Oxyjulis californica,Senorita,Fish,Planktivore
Fish,Hypsurus caryi,Rainbow surfperch,Fish,Microinvertivore
Fish,Sebastes auriculatus,Brown rockfish,Fish,Piscivore
Fish,Ophiodon elongatus,Lingcod,Fish,Piscivore
Fish,Phanerodon furcatus,White surfperch,Fish,Microinvertivore
Fish,Rhacochilus toxotes,Rubberlip surfperch,Fish,Macroinvertivore
Fish,Cymatogaster aggregata,Shiner surfperch,Fish,Planktivore
Fish,Embiotoca jacksoni,Black surfperch,Fish,Microinvertivore
Fish,Sebastes miniatus,Vermilion rockfish,Fish,Piscivore
Fish,Sebastes carnatus,Gopher rockfish,Fish,Macroinvertivore
Fish,Sebastes melanops,Black rockfish,Fish,Piscivore
Fish,Heterostichus rostratus,Giant kelpfish,Fish,Macroinvertivore
Fish,Embiotoca lateralis,Striped surfperch,Fish,Microinvertivore
Fish,Sebastes paucispinis,Bocaccio,Fish,Piscivore
Fish,Rhinogobiops nicholsii,Blackeye goby,Fish,Planktivore
Fish,Cebidichthys violaceus,Monkeyface eel,Fish,Herbivore
Fish,Sebastes pinniger,Canary rockfish,Fish,Piscivore
Fish,Zalembius rosaceus,Pink surfperch,Fish,Microinvertivore
Fish,Chromis punctipinnis,Blacksmith,Fish,Planktivore
Fish,Girella nigricans,Opaleye,Fish,Herbivore
Fish,Hexagrammos lagocephalus,Rock greenling,Fish,Macroinvertivore
Fish,Sebastes serriceps,Treefish,Fish,Macroinvertivore
Fish,Anarrhichthys ocellatus,Wolf eel,Fish,Macroinvertivore
Fish,Sebastes nebulosus,China rockfish,Fish,Macroinvertivore
Fish,Sebastes hopkinsi,Squarespot rockfish,Fish,Planktivore
Fish,Bathymasteridae,Ronquils,Fish,Macroinvertivore
Fish,Paralichthys californicus,California halibut,Fish,Piscivore
Fish,Sebastes saxicola,Stripetail rockfish,Fish,Planktivore
Fish,Cephaloscyllium ventriosum,Swell shark,Fish,Piscivore
Fish,Sebastes diploproa,Spitnose rockfish yoy,Fish,Planktivore
Fish,Sebastes dallii,Calico rockfish,Fish,Macroinvertivore
Fish,Tetronarce californica,Pacific electric ray,Fish,Piscivore
Fish,Platyrhinoidis triseriata,Thornback,Fish,Macroinvertivore
Fish,Pleuronichthys coenosus,Righteyed flounders,Fish,Piscivore
Fish,Sebastes rosaceus,Rosy rockfish,Fish,Planktivore
Fish,Mola mola,Ocean sunfish,Fish,Planktivore
Fish,Ernogrammus walkeri,Masked prickleback,Fish,Microinvertivore
Fish,Porichthys notatus,Plainfin midshipman,Fish,Macroinvertivore
Fish,Sebastes semicinctus,Halfbanded rockfish,Fish,Planktivore
Fish,Citharichthys,Sanddabs,Fish,Microinvertivore
